Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Nov 2025,SEN,19573989,,Kanel,current,2025-10-01,2025-12-31,all,371969,1.0
Nov 2025,SEN,19573989,,Kanel,current,2025-10-01,2025-12-31,3+,11159,0.03
Nov 2025,SEN,19573989,,Kanel,current,2025-10-01,2025-12-31,1,308734,0.83
Nov 2025,SEN,19573989,,Kanel,current,2025-10-01,2025-12-31,2,52076,0.14
Nov 2025,SEN,19573989,,Kanel,current,2025-10-01,2025-12-31,3,11159,0.03
Nov 2025,SEN,19573989,,Kanel,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Kanel,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Kanel,first projection,2026-06-01,2026-08-31,all,371969,1.0
Nov 2025,SEN,19573989,,Kanel,first projection,2026-06-01,2026-08-31,3+,22318,0.06
Nov 2025,SEN,19573989,,Kanel,first projection,2026-06-01,2026-08-31,1,264098,0.71
Nov 2025,SEN,19573989,,Kanel,first projection,2026-06-01,2026-08-31,2,85553,0.23
Nov 2025,SEN,19573989,,Kanel,first projection,2026-06-01,2026-08-31,3,22318,0.06
Nov 2025,SEN,19573989,,Kanel,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Kanel,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Diourbel,current,2025-10-01,2025-12-31,all,376393,1.0
Nov 2025,SEN,19573989,,Diourbel,current,2025-10-01,2025-12-31,3+,11292,0.03
Nov 2025,SEN,19573989,,Diourbel,current,2025-10-01,2025-12-31,1,319934,0.85
Nov 2025,SEN,19573989,,Diourbel,current,2025-10-01,2025-12-31,2,45167,0.12
Nov 2025,SEN,19573989,,Diourbel,current,2025-10-01,2025-12-31,3,11292,0.03
Nov 2025,SEN,19573989,,Diourbel,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Diourbel,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Diourbel,first projection,2026-06-01,2026-08-31,all,376393,1.0
Nov 2025,SEN,19573989,,Diourbel,first projection,2026-06-01,2026-08-31,3+,18820,0.05
